method,cost_weight,stretch_opt_weight,stretch_avg_weight,length_weight,dist_thresh,adjusted_rand_index_mean,adjusted_rand_index_std,adjusted_rand_index_min,adjusted_rand_index_max,adjusted_mutual_info_mean,adjusted_mutual_info_std,adjusted_mutual_info_min,adjusted_mutual_info_max,homogeneity_mean,homogeneity_std,homogeneity_min,homogeneity_max,completeness_mean,completeness_std,completeness_min,completeness_max,v_measure_mean,v_measure_std,v_measure_min,v_measure_max,v_measure_perfect_count,pairwise_f1_mean,pairwise_f1_std,pairwise_f1_min,pairwise_f1_max,n_pieces_succeeded
ward,0.3,0.0,0.0,0.0,0.5,0.25060129870129866,0.3277935252458758,-0.0606,1.0,0.2855896103896104,0.32336441691352225,-0.1263,1.0,0.9118805194805194,0.18975322390975533,0.1844,1.0,0.34477142857142856,0.3060193678011047,0.0,1.0,0.41951948051948046,0.31878964079005895,0.0,1.0,7,0.40481948051948047,0.3135886341031689,0.0,1.0,77
ward,2.0,0.0,0.0,0.0,0.5,0.25060129870129866,0.3277935252458758,-0.0606,1.0,0.2855896103896104,0.32336441691352225,-0.1263,1.0,0.9118805194805194,0.18975322390975533,0.1844,1.0,0.34477142857142856,0.3060193678011047,0.0,1.0,0.41951948051948046,0.31878964079005895,0.0,1.0,7,0.40481948051948047,0.3135886341031689,0.0,1.0,77
ward,1.0,0.0,0.0,0.0,0.5,0.25060129870129866,0.3277935252458758,-0.0606,1.0,0.2855896103896104,0.32336441691352225,-0.1263,1.0,0.9118805194805194,0.18975322390975533,0.1844,1.0,0.34477142857142856,0.3060193678011047,0.0,1.0,0.41951948051948046,0.31878964079005895,0.0,1.0,7,0.40481948051948047,0.3135886341031689,0.0,1.0,77
ward,3.0,0.0,0.0,0.0,0.5,0.25060129870129866,0.3277935252458758,-0.0606,1.0,0.2855896103896104,0.32336441691352225,-0.1263,1.0,0.9118805194805194,0.18975322390975533,0.1844,1.0,0.34477142857142856,0.3060193678011047,0.0,1.0,0.41951948051948046,0.31878964079005895,0.0,1.0,7,0.40481948051948047,0.3135886341031689,0.0,1.0,77
ward,2.0,0.3,0.0,0.0,0.5,0.2549103896103896,0.3412041638821214,-0.0606,1.0,0.2840714285714286,0.33131607181574185,-0.1408,1.0,0.9105792207792207,0.18279378299245164,0.1844,1.0,0.3497454545454546,0.3173767978759446,0.0,1.0,0.42077792207792203,0.32291095617284565,0.0,1.0,9,0.4046714285714285,0.3285426880710818,0.0,1.0,77
ward,3.0,0.3,0.0,0.0,0.5,0.2562376623376623,0.3407827174749334,-0.0606,1.0,0.28598311688311684,0.331067817591548,-0.1408,1.0,0.9104753246753249,0.18308724423486736,0.1844,1.0,0.35071168831168836,0.3171955335227153,0.0,1.0,0.42177922077922075,0.3229185910587076,0.0,1.0,9,0.4074727272727272,0.3274755601612914,0.0,1.0,77
ward,0.3,0.0,0.3,0.0,0.5,0.2750051948051948,0.3429282999900314,-0.0288,1.0,0.302825974025974,0.33415276170715513,-0.0846,1.0,0.9087116883116882,0.20125008992433321,0.1573,1.0,0.3664545454545455,0.32332881238902494,0.0,1.0,0.430074025974026,0.3255273273993929,0.0,1.0,9,0.432525974025974,0.34352369297770174,0.0,1.0,77
ward,1.0,0.0,1.0,0.0,0.5,0.2750051948051948,0.3429282999900314,-0.0288,1.0,0.302825974025974,0.33415276170715513,-0.0846,1.0,0.9087116883116882,0.20125008992433321,0.1573,1.0,0.3664545454545455,0.32332881238902494,0.0,1.0,0.430074025974026,0.3255273273993929,0.0,1.0,9,0.432525974025974,0.34352369297770174,0.0,1.0,77
ward,2.0,0.3,0.7,0.0,0.5,0.25797402597402597,0.33933028365188994,-0.0552,1.0,0.28617792207792203,0.33024579929822545,-0.1408,1.0,0.906638961038961,0.1976168010076041,0.1844,1.0,0.3560350649350649,0.32320775264193913,0.0,1.0,0.4203831168831169,0.32215987496836984,0.0,1.0,9,0.4110077922077922,0.33443615226120743,0.0,1.0,77
ward,3.0,0.3,1.0,0.0,0.5,0.2636038961038961,0.34214595406189496,-0.0552,1.0,0.2911311688311688,0.3328965106766843,-0.1408,1.0,0.906638961038961,0.1976168010076041,0.1844,1.0,0.35890519480519484,0.3245249794864431,0.0,1.0,0.4230272727272727,0.3236634498004337,0.0,1.0,9,0.4181272727272727,0.3352348421421444,0.0,1.0,77
ward,2.0,0.0,1.0,0.0,0.5,0.2672012987012988,0.3419571346621757,-0.0552,1.0,0.2950428571428571,0.3334000737885736,-0.1408,1.0,0.9066246753246754,0.19763513880994713,0.1844,1.0,0.36085324675324676,0.32423047021236906,0.0,1.0,0.4252324675324675,0.3239529396805615,0.0,1.0,9,0.4229961038961038,0.3364633078320545,0.0,1.0,77
